date,product,sales_amount,quantity,region,total_revenue
2023-01-01,Tablet,551.2633963665739,8,West,4410.1071709325915
2023-01-02,Headphones,781.425625882383,1,South,781.425625882383
2023-01-03,Laptop,642.5635757279075,1,East,642.5635757279075
2023-01-04,Tablet,413.46445165063955,7,West,2894.2511615544768
2023-01-05,Tablet,365.2377992977463,8,North,2921.90239438197
2023-01-06,Headphones,573.7878757259758,3,West,1721.3636271779274
2023-01-07,Laptop,301.9650189469037,5,East,1509.8250947345184
2023-01-08,Laptop,774.7188148781531,1,North,774.7188148781531
2023-01-09,Tablet,676.916018108193,7,North,4738.412126757351
2023-01-10,Phone,429.6236521842943,5,South,2148.1182609214716
2023-01-11,Tablet,243.02982063636836,8,North,1944.2385650909468
2023-01-12,Tablet,703.0808561248119,8,North,5624.646848998495
2023-01-13,Tablet,482.8190232121073,9,West,4345.371208908966
2023-01-14,Tablet,685.6724467960192,7,East,4799.707127572135
2023-01-15,Headphones,260.83585118084494,1,South,260.83585118084494
2023-01-16,Laptop,410.0937465569341,3,West,1230.2812396708023
2023-01-17,Headphones,500.7865549577275,8,North,4006.29243966182
2023-01-18,Headphones,507.0470890647113,3,North,1521.141267194134
2023-01-19,Headphones,432.4901792781135,8,South,3459.921434224908
2023-01-20,Tablet,593.4274898521248,1,East,593.4274898521248
2023-01-21,Phone,339.85693559261085,5,South,1699.2846779630543
2023-01-22,Laptop,478.643077246806,4,West,1914.572308987224
2023-01-23,Phone,518.0443447567849,5,South,2590.2217237839245
2023-01-24,Headphones,577.1658251088123,8,North,4617.326600870499
2023-01-25,Headphones,606.7422317133335,4,West,2426.968926853334
2023-01-26,Phone,331.3036862243196,4,North,1325.2147448972785
2023-01-27,Phone,269.88287438965665,3,East,809.64862316897
2023-01-28,Phone,691.6515232847763,7,North,4841.560662993435
2023-01-29,Headphones,549.8471017969388,3,North,1649.5413053908164
2023-01-30,Headphones,387.727019516517,3,South,1163.181058549551
2023-01-31,Laptop,732.6727963283785,5,North,3663.363981641892
2023-02-01,Laptop,517.3511951439287,5,West,2586.7559757196436
2023-02-02,Headphones,676.894577609574,6,West,4061.367465657444
2023-02-03,Phone,510.12777221151634,8,East,4081.0221776921308
2023-02-04,Phone,809.1121887322981,6,West,4854.673132393789
2023-02-05,Laptop,763.3011263664807,1,South,763.3011263664807
2023-02-06,Headphones,462.655377728139,8,East,3701.243021825112
2023-02-07,Laptop,645.7356426431534,8,West,5165.885141145227
2023-02-08,Laptop,596.8063924377722,9,South,5371.257531939949
2023-02-09,Tablet,705.2947336298523,9,West,6347.652602668671
2023-02-10,Tablet,355.2614809129843,2,West,710.5229618259687
2023-02-11,Tablet,602.9077189997658,2,North,1205.8154379995317
2023-02-12,Phone,658.7636730274381,3,West,1976.2910190823145
2023-02-13,Headphones,236.18907703653286,1,West,236.18907703653286
2023-02-14,Headphones,322.51122310013375,4,South,1290.044892400535
2023-02-15,Headphones,194.11517333598493,4,South,776.4606933439397
2023-02-16,Headphones,459.58897483331634,9,North,4136.300773499847
2023-02-17,Tablet,607.6313383693944,9,West,5468.682045324549
2023-02-18,Phone,725.3535578144042,9,North,6528.182020329637
2023-02-19,Phone,511.1142170629663,7,West,3577.799519440764
2023-02-20,Tablet,744.2923318356937,2,East,1488.5846636713875
2023-02-21,Phone,292.98478126776627,5,East,1464.9239063388313
2023-02-22,Tablet,244.4926340967268,4,North,977.9705363869072
2023-02-23,Headphones,491.6678451655072,8,North,3933.3427613240574
2023-02-24,Tablet,557.6098173408961,2,North,1115.2196346817923
2023-02-25,Headphones,495.09578778588605,6,South,2970.5747267153165
2023-02-26,Headphones,189.8836849940185,5,South,949.4184249700925
2023-02-27,Laptop,486.6319940730817,2,South,973.2639881461635
2023-02-28,Tablet,304.32957492427204,1,North,304.32957492427204
2023-03-01,Laptop,600.4508823245058,8,West,4803.607058596046
2023-03-02,Tablet,554.9897369145273,2,East,1109.9794738290545
2023-03-03,Tablet,359.01803205089675,7,North,2513.1262243562774
2023-03-04,Laptop,422.91996239949594,9,South,3806.2796615954635
2023-03-05,Laptop,341.1179717166573,9,South,3070.0617454499156
2023-03-06,Tablet,490.5981354090242,8,North,3924.785083272194
2023-03-07,Phone,643.2713480751858,9,North,5789.4421326766715
2023-03-08,Headphones,352.1410930496684,2,South,704.2821860993369
2023-03-09,Laptop,575.6069773276766,6,West,3453.6418639660596
2023-03-10,Headphones,420.46135724413386,4,South,1681.8454289765355
2023-03-11,Phone,381.06907516064837,4,South,1524.2763006425935
2023-03-12,Phone,483.9454460068163,5,North,2419.7272300340815
2023-03-13,Phone,344.7136516370939,3,West,1034.1409549112818
2023-03-14,Laptop,416.9526041979227,1,South,416.9526041979227
2023-03-15,Phone,320.31831611167274,8,South,2562.546528893382
2023-03-16,Laptop,794.7087699374583,5,East,3973.5438496872916
2023-03-17,Phone,505.28953279575927,3,North,1515.8685983872779
2023-03-18,Headphones,395.04117380111217,7,East,2765.288216607785
2023-03-19,Headphones,532.0969866101333,7,East,3724.678906270933
2023-03-20,Tablet,483.15079254637556,1,South,483.15079254637556
2023-03-21,Headphones,466.85456007001653,9,North,4201.691040630149
2023-03-22,Tablet,592.1250050065138,2,West,1184.2500100130276
2023-03-23,Headphones,613.6261565070957,5,South,3068.130782535479
2023-03-24,Laptop,420.4248278584209,5,West,2102.1241392921042
2023-03-25,Headphones,413.627263903298,8,West,3309.018111226384
2023-03-26,Tablet,458.7422454272534,8,North,3669.9379634180273
2023-03-27,Tablet,154.71182528966227,7,East,1082.9827770276358
2023-03-28,Phone,272.72134067021716,7,North,1909.0493846915201
2023-03-29,Laptop,705.0311401166787,6,West,4230.186840700072
2023-03-30,Headphones,746.7451570251926,6,South,4480.470942151156
2023-03-31,Phone,462.6445940665433,9,West,4163.80134659889
2023-04-01,Headphones,586.4835444583649,6,South,3518.9012667501893
2023-04-02,Headphones,546.6875231815304,2,South,1093.3750463630608
2023-04-03,Phone,961.8321212682856,2,North,1923.6642425365712
2023-04-04,Phone,667.9362367151865,5,West,3339.6811835759327
2023-04-05,Phone,480.81236127788503,4,East,1923.2494451115401
2023-04-06,Phone,356.66893390993613,2,West,713.3378678198723
2023-04-07,Phone,259.0330519613641,3,West,777.0991558840923
2023-04-08,Headphones,530.5195453800835,7,East,3713.6368176605847
2023-04-09,Phone,386.5473882073545,8,North,3092.379105658836
2023-04-10,Laptop,286.66194356034885,6,West,1719.971661362093
2023-04-11,Tablet,403.014067363621,5,West,2015.070336818105
2023-04-12,Phone,337.76779945784074,1,South,337.76779945784074
2023-04-13,Phone,753.0712452608848,8,West,6024.569962087078
2023-04-14,Headphones,632.2459635424176,3,East,1896.737890627253
2023-04-15,Phone,498.80410380250737,6,South,2992.824622815044
2023-04-16,Phone,721.9916208335039,3,North,2165.974862500512
2023-04-17,Phone,511.60524614714274,7,South,3581.236723029999
2023-04-18,Headphones,370.80736980076045,7,East,2595.651588605323
2023-04-19,Phone,728.4686115904486,9,East,6556.217504314038
2023-04-20,Tablet,580.8365065526988,5,South,2904.182532763494
2023-04-21,Headphones,344.4130768510315,8,North,2755.304614808252
2023-04-22,Tablet,471.4491982874588,8,South,3771.5935862996703
2023-04-23,Headphones,368.6572619922864,1,North,368.6572619922864
2023-04-24,Phone,292.5800403553496,5,South,1462.900201776748
2023-04-25,Tablet,638.9266321297462,3,East,1916.7798963892385
2023-04-26,Headphones,786.4124960705196,1,West,786.4124960705196
2023-04-27,Laptop,290.2148639271288,4,West,1160.8594557085153
2023-04-28,Phone,584.4453855035856,8,North,4675.563084028685
2023-04-29,Headphones,402.403614631726,3,North,1207.210843895178
2023-04-30,Laptop,426.9311924352956,2,North,853.8623848705912
2023-05-01,Headphones,411.1409113641696,9,East,3700.268202277526
2023-05-02,Laptop,370.40138454802764,5,South,1852.0069227401382
2023-05-03,Phone,507.27824419172407,7,East,3550.9477093420683
2023-05-04,Tablet,375.35748253834436,2,West,750.7149650766887
2023-05-05,Laptop,540.5685238669759,9,North,4865.116714802783
2023-05-06,Headphones,492.46428358262943,9,South,4432.178552243665
2023-05-07,Phone,464.15779297003854,4,West,1856.6311718801542
2023-05-08,Laptop,363.8654506937603,4,West,1455.4618027750412
2023-05-09,Headphones,413.4843004147501,6,West,2480.9058024885007
2023-05-10,Headphones,613.3086838738634,6,East,3679.8521032431804
2023-05-11,Headphones,575.1375781436572,1,North,575.1375781436572
2023-05-12,Laptop,353.36671328021737,9,West,3180.3004195219564
2023-05-13,Laptop,514.8998458143839,2,North,1029.7996916287677
2023-05-14,Laptop,612.7080685057683,5,East,3063.5403425288414
2023-05-15,Tablet,249.58920783179423,9,West,2246.302870486148
2023-05-16,Laptop,581.5040288569903,4,East,2326.0161154279613
2023-05-17,Laptop,400.606436158123,3,East,1201.819308474369
2023-05-18,Laptop,585.589800288974,7,North,4099.128602022818
2023-05-19,Tablet,385.51112651862246,6,West,2313.066759111735
2023-05-20,Laptop,229.26768490032214,8,East,1834.141479202577
2023-05-21,Headphones,255.8686343175256,3,West,767.6059029525768
2023-05-22,Laptop,507.2127419992073,5,North,2536.063709996037
2023-05-23,Headphones,538.9583752582223,4,East,2155.833501032889
2023-05-24,Headphones,364.3525062343387,4,North,1457.4100249373548
2023-05-25,Headphones,595.788868816606,4,West,2383.155475266424
2023-05-26,Tablet,250.771990659656,8,West,2006.175925277248
2023-05-27,Tablet,490.08803020290253,6,North,2940.5281812174153
2023-05-28,Tablet,318.3475700356315,3,South,955.0427101068946
2023-05-29,Laptop,402.22458382967613,5,East,2011.1229191483808
2023-05-30,Headphones,507.1098006974621,6,West,3042.6588041847726
2023-05-31,Tablet,370.93799520740714,5,West,1854.6899760370356
2023-06-01,Tablet,442.3166683655262,6,East,2653.900010193157
2023-06-02,Laptop,650.9439213821661,8,North,5207.551371057329
2023-06-03,Tablet,413.4662195715277,7,North,2894.2635370006938
2023-06-04,Laptop,625.3538168097713,5,North,3126.7690840488563
2023-06-05,Phone,330.5439718013573,6,South,1983.263830808144
2023-06-06,Tablet,579.4706266872925,4,South,2317.88250674917
2023-06-07,Phone,716.235293098685,9,West,6446.1176378881655
2023-06-08,Laptop,129.2533249809066,4,North,517.0132999236264
2023-06-09,Headphones,380.46571167942847,1,East,380.46571167942847
2023-06-10,Tablet,586.560819077081,7,West,4105.925733539567
2023-06-11,Laptop,469.5431920935511,7,East,3286.8023446548577
2023-06-12,Headphones,555.6718810056964,4,West,2222.6875240227855
2023-06-13,Headphones,409.4022219926269,3,South,1228.2066659778807
2023-06-14,Phone,512.988468120935,8,West,4103.90774496748
2023-06-15,Laptop,476.64841469118807,5,South,2383.2420734559405
2023-06-16,Headphones,675.1673092489712,7,West,4726.171164742798
2023-06-17,Tablet,538.1631264951819,4,North,2152.6525059807277
2023-06-18,Tablet,550.6403993112804,4,East,2202.5615972451214
2023-06-19,Phone,438.2184550816299,8,North,3505.747640653039
2023-06-20,Headphones,426.859066389126,8,West,3414.872531113008
2023-06-21,Laptop,435.11627182705683,2,West,870.2325436541137
2023-06-22,Tablet,559.1678213567445,2,West,1118.335642713489
